date_sold,locality,value
2019,Wheelers Hill,1144209
2019,Whittlesea,621905
2019,Williams Landing,693089
2019,Williamstown,1245435
2019,Williamstown North,915250
2019,Windsor,781357
2019,Wollert,556043
2019,Wonga Park,1468718
2019,Woori Yallock,542431
2019,Wyndham Vale,477208
2019,Yallambie,830303
2019,Yan Yean,955667
2019,Yannathan,870000
2019,Yarra Glen,719948
2019,Yarra Junction,560934
2019,Yarrambat,1329167
2019,Yarraville,935340
2019,Yellingbo,1031250
2019,Yering,1700000
